source_verse,target_verse,votes
"John 17:14","John 8:23",10
"John 17:14","Genesis 3:15",1
"John 17:15","Psalms 30:9",5
"John 17:15","2 Timothy 4:8",3
"John 17:15","Ecclesiastes 9:10",1
"John 17:15","Matthew 5:37",1
"John 17:15","Luke 11:4",12
"John 17:15","Isaiah 57:1",2
"John 17:15","Galatians 1:4",13
"John 17:15","Psalms 121:7",27
"John 17:15","1 John 5:18",22
"John 17:15","Matthew 6:13",19
"John 17:15","2 Thessalonians 3:3",19
"John 17:15","1 Chronicles 4:10",13
"John 17:15","Genesis 48:16",2
"John 17:16","John 17:14",17
"John 17:17","John 17:19",34
"John 17:17","Psalms 119:9",17
"John 17:17","John 15:3",50
"John 17:17","Acts 15:9",9
"John 17:17","2 Thessalonians 2:13",22
"John 17:17","Psalms 119:144",7
"John 17:17","Psalms 119:160",50
"John 17:17","2 Corinthians 3:18",10
"John 17:17","Psalms 12:6",14
"John 17:17","John 8:32",26
"John 17:17","John 8:40",7
"John 17:17","Luke 8:11",10
"John 17:17","Psalms 119:11",20
"John 17:17","Luke 8:15",10
"John 17:17","Psalms 119:104",14
"John 17:17","Ephesians 4:21",16
"John 17:17","James 1:21",25
"John 17:17","Ephesians 5:26",42
"John 17:17","2 Samuel 7:28",11
"John 17:18","John 17:3",5
"John 17:18","John 4:38",4
"John 17:18","Ephesians 3:7",3
"John 17:18","Matthew 10:5",4
"John 17:18","John 17:8",3
"John 17:18","John 20:21",9
"John 17:18","John 17:21",3
"John 17:18","John 17:23",3
"John 17:18","Matthew 23:34",3
"John 17:18","2 Corinthians 5:20",9
"John 17:19","Hebrews 2:11",13
"John 17:19","Hebrews 9:18",2
"John 17:19","Jeremiah 1:5",2
"John 17:19","2 Corinthians 8:9",7
"John 17:19","1 Thessalonians 4:7",7
"John 17:19","2 Timothy 2:10",7
"John 17:19","Titus 2:14",14
"John 17:19","2 Corinthians 4:15",7
"John 17:19","John 17:17",10
"John 17:19","Hebrews 9:26",6
"John 17:19","Isaiah 62:1",3
"John 17:19","Hebrews 10:29",4
"John 17:19","1 Corinthians 1:2",8
"John 17:19","John 10:36",2
"John 17:19","Hebrews 9:13",3
"John 17:20","Romans 16:26",4
"John 17:20","2 Timothy 1:2",1
"John 17:20","Ephesians 4:11",5
"John 17:20","Acts 2:41",9
"John 17:20","Acts 4:4",8
"John 17:21","John 17:18",1
"John 17:21","Galatians 3:28",8
"John 17:21","John 17:25",3
"John 17:21","John 17:8",8
"John 17:21","1 Corinthians 12:12",29
"John 17:21","John 5:23",2
"John 17:21","Philippians 1:27",18
"John 17:21","Zechariah 14:9",9
"John 17:21","John 17:3",2
"John 17:21","John 17:11",22
"John 17:21","John 10:38",8
"John 17:21","Romans 12:5",9
"John 17:21","Zephaniah 3:9",3
"John 17:21","John 10:30",11
"John 17:21","John 13:35",14
"John 17:21","John 10:16",3
"John 17:21","Acts 2:46",3
