source_verse,target_verse,votes
"Revelation 4:4","Revelation 5:8",6
"Revelation 4:4","Revelation 11:16",14
"Revelation 4:4","Matthew 19:28",16
"Revelation 4:4","Revelation 7:9",4
"Revelation 4:5","Revelation 1:4",12
"Revelation 4:5","Acts 2:3",2
"Revelation 4:5","Matthew 3:11",2
"Revelation 4:5","Exodus 37:23",5
"Revelation 4:5","Exodus 20:18",7
"Revelation 4:5","Revelation 8:5",15
"Revelation 4:5","Joel 3:16",6
"Revelation 4:5","Psalms 68:35",5
"Revelation 4:5","Zechariah 4:2",8
"Revelation 4:5","Revelation 3:1",9
"Revelation 4:5","Revelation 11:19",16
"Revelation 4:5","2 Chronicles 4:20",5
"Revelation 4:5","Ezekiel 1:13",5
"Revelation 4:5","Revelation 5:6",10
"Revelation 4:5","Exodus 19:16",9
"Revelation 4:6","Revelation 15:7",6
"Revelation 4:6","Revelation 21:21",5
"Revelation 4:6","Revelation 21:18",4
"Revelation 4:6","Revelation 19:4",8
"Revelation 4:6","Revelation 15:2",14
"Revelation 4:6","1 Kings 7:23",1
"Revelation 4:6","Revelation 7:11",7
"Revelation 4:6","Revelation 22:1",6
"Revelation 4:6","Revelation 7:17",3
"Revelation 4:6","Revelation 21:11",6
"Revelation 4:6","Ezekiel 10:14",8
"Revelation 4:6","Revelation 14:3",9
"Revelation 4:6","Revelation 5:6",13
"Revelation 4:6","Ezekiel 10:12",8
"Revelation 4:7","Revelation 4:6",6
"Revelation 4:7","Ezekiel 1:10",21
"Revelation 4:7","Ezekiel 1:8",6
"Revelation 4:7","Daniel 7:4",6
"Revelation 4:7","Ezekiel 10:21",8
"Revelation 4:7","Ezekiel 10:14",22
"Revelation 4:8","Isaiah 13:6",3
"Revelation 4:8","Hebrews 13:8",17
"Revelation 4:8","Revelation 4:6",14
"Revelation 4:8","Joel 1:15",1
"Revelation 4:8","Revelation 1:4",5
"Revelation 4:8","Revelation 1:8",20
"Revelation 4:8","Revelation 4:4",4
"Revelation 4:8","1 Thessalonians 2:9",1
"Revelation 4:8","Genesis 17:1",8
"Revelation 4:8","Revelation 19:15",5
"Revelation 4:8","Psalms 91:1",9
"Revelation 4:8","Isaiah 62:1",3
"Revelation 4:8","Revelation 15:3",10
"Revelation 4:8","Ezekiel 1:6",9
"Revelation 4:8","Revelation 7:15",6
"Revelation 4:8","Revelation 21:22",5
"Revelation 4:8","Revelation 3:7",7
"Revelation 4:8","Revelation 16:7",10
"Revelation 4:8","Revelation 11:17",9
"Revelation 4:8","Exodus 15:11",14
"Revelation 4:8","2 Corinthians 6:18",4
"Revelation 4:9","Psalms 47:8",7
"Revelation 4:9","Revelation 10:6",9
"Revelation 4:9","Hebrews 7:25",1
"Revelation 4:9","Daniel 12:7",2
"Revelation 4:9","Revelation 1:18",5
"Revelation 4:9","Revelation 15:7",8
"Revelation 4:9","Hebrews 7:8",2
"Revelation 4:9","Exodus 15:18",2
"Revelation 4:9","Daniel 4:34",4
"Revelation 4:9","Psalms 48:14",2
"Revelation 4:10","Revelation 5:8",17
"Revelation 4:10","Revelation 7:11",13
"Revelation 4:10","Psalms 95:6",16
"Revelation 4:10","1 Corinthians 15:10",3
"Revelation 4:10","1 Chronicles 29:20",8
"Revelation 4:10","Revelation 19:4",16
"Revelation 4:10","Revelation 15:4",10
"Revelation 4:10","Psalms 72:11",10
"Revelation 4:10","Revelation 4:4",13
"Revelation 4:10","Revelation 4:9",9
"Revelation 4:10","Revelation 11:16",15
"Revelation 4:10","Matthew 2:11",6
"Revelation 4:10","2 Chronicles 7:3",6
"Revelation 4:10","Job 1:20",4
"Revelation 4:10","Psalms 115:1",5
"Revelation 4:10","Luke 24:52",5
"Revelation 4:10","Revelation 5:14",13
"Revelation 4:11","Isaiah 40:28",44
"Revelation 4:11","Revelation 14:7",25
"Revelation 4:11","Revelation 5:12",48
"Revelation 4:11","Deuteronomy 32:4",7
"Revelation 4:11","Acts 14:15",14
"Revelation 4:11","Jeremiah 10:11",7
"Revelation 4:11","Psalms 68:34",8
"Revelation 4:11","Revelation 5:2",9
"Revelation 4:11","Hebrews 1:10",23
"Revelation 4:11","Revelation 5:9",24
"Revelation 4:11","Proverbs 16:4",38
"Revelation 4:11","Job 36:3",9
"Revelation 4:11","Genesis 1:1",18
"Revelation 4:11","Hebrews 1:2",7
"Revelation 4:11","Romans 11:36",23
"Revelation 4:11","Psalms 18:3",12
"Revelation 4:11","Isaiah 40:26",7
"Revelation 4:11","Exodus 20:11",6
"Revelation 4:11","Jeremiah 32:17",14
"Revelation 4:11","Nehemiah 9:5",12
"Revelation 4:11","Revelation 10:6",27
"Revelation 4:11","Acts 17:24",10
"Revelation 4:11","Ephesians 3:9",16
"Revelation 4:11","2 Samuel 22:4",10
"Revelation 5:1","Daniel 8:26",2
"Revelation 5:1","Isaiah 29:11",16
"Revelation 5:1","Isaiah 34:16",1
"Revelation 5:1","Isaiah 8:16",3
"Revelation 5:1","Revelation 10:2",9
"Revelation 5:1","Revelation 5:13",9
"Revelation 5:1","Revelation 6:1",10
"Revelation 5:1","Revelation 4:3",6
"Revelation 5:1","Revelation 5:7",12
"Revelation 5:2","Revelation 10:1",4
"Revelation 5:2","Psalms 103:20",3
"Revelation 5:2","Revelation 18:21",2
"Revelation 5:2","Revelation 5:5",6
"Revelation 5:3","Isaiah 41:28",3
"Revelation 5:3","Revelation 5:13",5
"Revelation 5:3","Romans 11:34",4
"Revelation 5:4","Revelation 4:1",1
"Revelation 5:5","Revelation 6:1",12
"Revelation 5:5","Isaiah 11:1",28
"Revelation 5:5","Jeremiah 31:16",11
"Revelation 5:5","Romans 1:3",21
"Revelation 5:5","Revelation 4:4",11
"Revelation 5:5","Romans 15:12",23
"Revelation 5:5","Luke 8:52",2
"Revelation 5:5","Luke 7:13",5
"Revelation 5:5","Numbers 24:9",5
"Revelation 5:5","Luke 23:28",3
"Revelation 5:5","John 20:13",6
"Revelation 5:5","Revelation 4:10",7
"Revelation 5:5","Revelation 1:1",6
"Revelation 5:5","Revelation 22:16",24
"Revelation 5:5","Revelation 7:13",7
"Revelation 5:5","Isaiah 11:10",21
"Revelation 5:5","Hebrews 7:14",21
"Revelation 5:6","2 Chronicles 16:9",7
"Revelation 5:6","Zechariah 4:10",23
"Revelation 5:6","Revelation 1:4",11
"Revelation 5:6","Revelation 5:12",18
"Revelation 5:6","Revelation 17:14",5
"Revelation 5:6","Luke 1:69",5
"Revelation 5:6","Revelation 22:3",6
"Revelation 5:6","John 1:29",18
"Revelation 5:6","Revelation 21:23",5
"Revelation 5:6","Revelation 22:1",5
"Revelation 5:6","Zechariah 3:9",17
"Revelation 5:6","John 1:36",13
"Revelation 5:6","Acts 8:32",9
"Revelation 5:6","Revelation 12:11",5
"Revelation 5:6","Revelation 13:8",13
"Revelation 5:6","Habakkuk 3:4",4
"Revelation 5:6","Micah 4:13",4
"Revelation 5:6","Daniel 7:14",11
"Revelation 5:6","Revelation 6:16",5
"Revelation 5:6","1 Samuel 2:10",4
"Revelation 5:7","Revelation 5:1",9
"Revelation 5:8","Revelation 4:10",13
"Revelation 5:8","Revelation 5:6",7
"Revelation 5:8","Revelation 4:8",10
"Revelation 5:8","Revelation 5:14",12
"Revelation 5:8","Psalms 43:4",7
"Revelation 5:8","Hebrews 1:6",3
"Revelation 5:8","John 5:23",8
"Revelation 5:8","Revelation 15:2",7
"Revelation 5:8","Revelation 19:4",9
"Revelation 5:8","Psalms 81:2",6
"Revelation 5:8","Revelation 4:4",10
"Revelation 5:8","Revelation 15:7",7
"Revelation 5:8","Psalms 33:2",11
"Revelation 5:8","Psalms 150:3",7
"Revelation 5:8","Psalms 141:2",31
"Revelation 5:9","Revelation 14:6",17
"Revelation 5:9","Revelation 5:12",18
"Revelation 5:9","Daniel 6:25",4
"Revelation 5:9","1 Corinthians 7:23",8
"Revelation 5:9","Matthew 26:28",35
"Revelation 5:9","Daniel 4:1",2
"Revelation 5:9","Ephesians 1:7",12
"Revelation 5:9","2 Peter 2:1",11
"Revelation 5:9","Psalms 149:1",8
"Revelation 5:9","Revelation 4:11",13
"Revelation 5:9","Hebrews 11:14",4
"Revelation 5:9","1 Corinthians 6:20",17
"Revelation 5:9","Psalms 96:1",6
"Revelation 5:9","1 John 2:2",10
"Revelation 5:9","Acts 20:28",14
"Revelation 5:9","Revelation 5:6",12
"Revelation 5:9","1 John 1:7",36
"Revelation 5:9","Colossians 1:14",11
"Revelation 5:9","Titus 2:14",13
"Revelation 5:9","Psalms 144:9",6
"Revelation 5:9","Daniel 3:4",5
"Revelation 5:9","Psalms 40:3",26
"Revelation 5:9","Revelation 13:8",6
"Revelation 5:9","Isaiah 42:10",5
"Revelation 5:9","Colossians 1:23",3
"Revelation 5:9","Matthew 20:28",14
"Revelation 5:9","Psalms 33:3",8
"Revelation 5:9","Psalms 98:1",6
"Revelation 5:9","Revelation 11:9",6
"Revelation 5:10","Revelation 22:5",14
"Revelation 5:10","Daniel 7:18",15
"Revelation 5:10","Daniel 7:27",18
"Revelation 5:10","Exodus 19:6",10
"Revelation 5:10","Revelation 1:6",20
"Revelation 5:10","Revelation 20:6",16
"Revelation 5:11","Deuteronomy 33:2",4
"Revelation 5:11","Psalms 103:20",4
"Revelation 5:11","Revelation 4:4",7
"Revelation 5:11","Psalms 68:17",6
"Revelation 5:11","Revelation 4:6",7
"Revelation 5:11","Revelation 19:6",6
"Revelation 5:11","Revelation 7:11",5
"Revelation 5:11","1 Kings 22:19",3
"Revelation 5:11","Psalms 148:2",7
"Revelation 5:11","Revelation 5:14",5
"Revelation 5:11","Hebrews 12:22",10
"Revelation 5:11","Revelation 5:6",5
"Revelation 5:11","Daniel 7:10",15
"Revelation 5:12","Revelation 5:13",5
"Revelation 5:12","John 1:29",6
"Revelation 5:12","2 Corinthians 8:9",9
"Revelation 5:12","Matthew 28:18",8
"Revelation 5:12","John 17:2",10
"Revelation 5:12","Zechariah 13:7",3
"Revelation 5:12","1 Timothy 1:17",5
"Revelation 5:12","Revelation 13:8",4
"Revelation 5:12","Revelation 4:11",13
"Revelation 5:12","Revelation 5:9",33
"Revelation 5:12","Revelation 7:12",9
"Revelation 5:12","Revelation 5:6",5
"Revelation 5:12","Revelation 19:1",20
"Revelation 5:13","Philippians 2:10",22
"Revelation 5:13","Luke 2:14",6
"Revelation 5:13","Romans 9:5",5
"Revelation 5:13","1 Chronicles 29:11",12
"Revelation 5:13","Isaiah 42:10",8
"Revelation 5:13","Colossians 1:23",3
"Revelation 5:13","1 Peter 4:11",4
"Revelation 5:13","Revelation 5:6",4
"Revelation 5:13","Revelation 1:6",4
"Revelation 5:13","Revelation 6:16",6
"Revelation 5:13","1 Timothy 4:16",1
"Revelation 5:13","1 Peter 5:11",8
"Revelation 5:13","Jude 1:25",5
"Revelation 5:13","Revelation 5:9",3
"Revelation 5:13","Romans 11:36",8
"Revelation 5:13","Revelation 5:12",9
"Revelation 5:13","Romans 16:27",5
"Revelation 5:13","Ephesians 3:21",4
"Revelation 5:13","Isaiah 24:14",5
"Revelation 5:13","Revelation 5:3",8
"Revelation 5:13","Matthew 6:13",3
"Revelation 5:14","Revelation 5:8",5
"Revelation 5:14","Revelation 5:6",4
"Revelation 5:14","Revelation 7:12",2
"Revelation 5:14","Revelation 19:4",9
"Revelation 6:1","Revelation 6:5",7
"Revelation 6:1","Revelation 11:19",4
"Revelation 6:1","Revelation 6:3",4
"Revelation 6:1","Revelation 6:7",6
"Revelation 6:1","Revelation 19:6",4
"Revelation 6:1","Acts 4:20",1
"Revelation 6:1","Revelation 5:1",7
"Revelation 6:1","Revelation 14:2",4
"Revelation 6:2","Zechariah 1:8",5
"Revelation 6:2","Revelation 3:21",2
"Revelation 6:2","Revelation 14:14",2
"Revelation 6:3","Revelation 4:7",7
"Revelation 6:3","Revelation 6:1",3
"Revelation 6:4","Revelation 13:10",5
"Revelation 6:4","John 19:11",1
"Revelation 6:4","Revelation 12:3",1
"Revelation 6:4","Zechariah 1:8",4
"Revelation 6:4","Revelation 17:6",5
"Revelation 6:4","Zechariah 6:2",8
"Revelation 6:4","Daniel 5:19",1
"Revelation 6:4","Revelation 17:3",1
"Revelation 6:4","Matthew 10:34",6
"Revelation 6:5","Ezekiel 4:16",6
"Revelation 6:5","Leviticus 26:26",4
"Revelation 6:5","Revelation 5:5",4
"Revelation 6:5","Zechariah 6:2",7
"Revelation 6:5","Revelation 5:9",4
"Revelation 6:5","Zechariah 6:6",6
"Revelation 6:5","Revelation 6:1",5
"Revelation 6:5","Lamentations 5:10",2
"Revelation 6:5","Ezekiel 4:10",2
"Revelation 6:6","Revelation 9:4",3
"Revelation 6:6","Revelation 4:6",2
"Revelation 6:7","Revelation 6:5",1
"Revelation 6:7","Revelation 6:1",1
"Revelation 6:7","Revelation 6:3",4
"Revelation 6:7","Revelation 4:7",4
"Revelation 6:8","Revelation 9:18",4
"Revelation 6:8","Revelation 1:18",8
"Revelation 6:8","Hosea 13:14",11
"Revelation 6:8","Jeremiah 16:4",6
"Revelation 6:8","Matthew 11:23",2
"Revelation 6:8","Revelation 9:15",3
"Revelation 6:8","1 Corinthians 15:55",3
"Revelation 6:8","Zechariah 6:3",7
"Revelation 6:8","Jeremiah 43:11",2
"Revelation 6:8","Proverbs 5:5",1
"Revelation 6:8","Jeremiah 16:16",3
"Revelation 6:8","Ezekiel 5:12",6
"Revelation 6:8","Habakkuk 2:5",3
"Revelation 6:8","Isaiah 25:8",5
"Revelation 6:9","Revelation 1:2",3
"Revelation 6:9","Revelation 20:4",17
"Revelation 6:9","Philippians 2:17",1
"Revelation 6:9","Revelation 14:18",3
"Revelation 6:9","John 16:2",14
"Revelation 6:9","Revelation 1:9",10
"Revelation 6:9","2 Timothy 4:6",2
"Revelation 6:9","Revelation 19:10",2
"Revelation 6:9","2 Timothy 1:8",5
"Revelation 6:9","Philippians 1:23",3
"Revelation 6:9","Revelation 8:3",2
"Revelation 6:9","Revelation 2:13",6
"Revelation 6:9","Revelation 9:13",1
