source_verse,target_verse,votes
"Genesis 1:1","Psalms 146:6",56
"Genesis 1:1","Revelation 22:13",56
"Genesis 1:1","1 Chronicles 16:26",54
"Genesis 1:1","Revelation 14:7",77
"Genesis 1:1","Job 38:4",138
"Genesis 1:1","Isaiah 37:16",59
"Genesis 1:1","Hebrews 1:10",183
"Genesis 1:1","Psalms 124:8",66
"Genesis 1:1","Isaiah 40:26",55
"Genesis 1:1","Isaiah 65:17",53
"Genesis 1:1","Proverbs 16:4",61
"Genesis 1:1","Isaiah 42:5",153
"Genesis 1:1","Matthew 11:25",13
"Genesis 1:1","Psalms 134:3",56
"Genesis 1:1","Jeremiah 32:17",87
"Genesis 1:1","Psalms 136:5",73
"Genesis 1:1","Ecclesiastes 12:1",20
"Genesis 1:1","2 Peter 3:5",99
"Genesis 1:1","Hebrews 11:3",265
"Genesis 1:1","Psalms 33:6",62
"Genesis 1:1","Acts 14:15",74
"Genesis 1:1","Psalms 102:25",66
"Genesis 1:1","Psalms 115:15",76
"Genesis 1:1","Isaiah 40:28",61
"Genesis 1:1","Isaiah 51:13",52
"Genesis 1:1","Revelation 21:6",55
"Genesis 1:1","1 Corinthians 8:6",68
"Genesis 1:1","Jeremiah 10:12",72
"Genesis 1:1","Jeremiah 51:15",85
"Genesis 1:1","1 John 1:1",55
"Genesis 1:1","Nehemiah 9:6",96
"Genesis 1:1","Revelation 4:11",196
"Genesis 1:1","Hebrews 3:4",62
"Genesis 1:1","Psalms 90:2",58
"Genesis 1:1","Isaiah 45:18",236
"Genesis 1:1","Exodus 20:11",148
"Genesis 1:1","Job 26:13",38
"Genesis 1:1","Isaiah 51:16",56
"Genesis 1:1","Romans 11:36",58
"Genesis 1:1","Revelation 3:14",42
"Genesis 1:1","Psalms 121:2",62
"Genesis 1:1","Zechariah 12:1",61
"Genesis 1:1","Proverbs 3:19",80
"Genesis 1:1","Hebrews 1:2",62
"Genesis 1:1","Acts 17:24",126
"Genesis 1:1","Psalms 8:3",69
"Genesis 1:1","Ephesians 3:9",50
"Genesis 1:1","Mark 13:19",54
"Genesis 1:1","Psalms 104:24",61
"Genesis 1:1","Acts 4:24",59
"Genesis 1:1","Revelation 10:6",58
"Genesis 1:1","Psalms 33:9",84
"Genesis 1:1","Psalms 96:5",59
"Genesis 1:1","Psalms 104:30",56
"Genesis 1:1","Isaiah 44:24",93
"Genesis 1:2","Psalms 33:6",47
"Genesis 1:2","Job 26:14",10
"Genesis 1:2","Isaiah 45:18",67
"Genesis 1:2","Psalms 104:30",74
"Genesis 1:2","Jeremiah 4:23",97
"Genesis 1:2","Job 26:7",44
"Genesis 1:3","Psalms 118:27",20
"Genesis 1:3","Psalms 148:5",29
"Genesis 1:3","Isaiah 60:19",48
"Genesis 1:3","John 1:9",31
"Genesis 1:3","2 Corinthians 4:6",79
"Genesis 1:3","Ephesians 5:14",24
"Genesis 1:3","Psalms 104:2",23
"Genesis 1:3","Psalms 33:9",28
"Genesis 1:3","Ephesians 5:8",38
"Genesis 1:3","Job 38:19",23
"Genesis 1:3","Job 36:30",17
"Genesis 1:3","Isaiah 45:7",56
"Genesis 1:3","Psalms 33:6",29
"Genesis 1:3","Psalms 97:11",32
"Genesis 1:3","1 John 2:8",24
"Genesis 1:3","John 3:19",33
